S10	S11	S12	S13	S13prime	S14	S15	S16	S17	S18	S19	S1	S20	S20prime	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S3	S4	S5	S6	S7	S8	S9	gene.names
218	106	85	48	78	47	25	54	19	7	70	286	96	97	58	58	169	211	127	258	178	109	177	738	232	213	222	193	156	126	202	816	1021	340	449	457	560	187	161	150	CAGL0A00627g
4	7	6	2	12	4	5	3	3	3	7	0	3	15	11	6	10	34	9	26	29	20	3	3	29	15	10	36	46	7	57	1	3	0	0	6	0	1	6	7	CAGL0A00649g
0	2	0	0	1	3	2	2	1	2	0	0	2	2	5	4	2	6	0	13	0	4	4	0	3	6	1	8	2	1	5	0	0	0	0	0	0	0	0	0	CAGL0A00715g
22	16	23	21	26	24	18	26	25	17	27	4	23	34	49	42	28	60	16	39	30	48	32	14	74	34	12	63	43	12	46	70	90	0	2	3	1	0	3	6	CAGL0A00737g
830	997	905	564	776	650	719	1191	460	421	892	166	1363	1751	952	995	2129	1610	1160	3288	1100	1308	1715	417	1602	1659	1351	1313	1362	1401	1551	937	978	245	338	366	419	555	381	321	CAGL0A00781g
816	683	567	370	589	446	368	559	280	257	421	170	610	668	507	655	903	1055	449	1285	779	946	745	414	1232	820	659	985	1128	653	1230	518	558	287	345	361	413	468	312	296	CAGL0A00803g
458	406	312	241	363	274	185	251	154	135	241	149	284	403	274	303	423	517	199	566	345	451	303	351	593	387	282	441	412	270	529	472	475	231	265	346	382	326	225	208	CAGL0A00825g
86	51	69	38	61	42	49	66	24	29	58	142	59	101	106	112	165	270	109	345	190	234	138	271	293	119	157	292	270	184	317	340	330	151	180	187	227	64	59	46	CAGL0A00847g
235	238	202	142	209	137	171	280	145	94	242	100	334	365	381	381	610	868	419	1098	763	930	666	228	1212	623	545	1049	1140	645	1260	327	291	185	272	193	275	161	134	123	CAGL0A00869g
785	560	470	394	549	427	268	419	245	208	289	171	391	537	486	512	630	896	336	916	597	723	555	442	904	605	457	686	742	476	782	574	616	268	349	411	449	453	343	302	CAGL0A00891g
498	372	298	222	349	211	168	273	142	139	246	176	325	382	326	341	543	716	297	761	648	628	455	472	910	488	440	723	723	411	834	612	528	271	335	336	425	315	227	194	CAGL0A00913g
177	40	36	45	50	56	19	29	23	22	33	115	35	41	48	42	49	124	36	119	105	124	96	233	182	122	91	207	237	125	299	320	293	132	232	254	296	119	46	73	CAGL0A00935g
1308	736	603	748	1020	883	470	769	498	442	498	125	725	997	1074	1156	953	1848	558	1097	1237	1536	919	414	2119	1411	767	1688	1623	776	1668	495	415	244	376	471	570	476	274	379	CAGL0A00957g
4156	902	773	431	548	322	99	161	78	67	144	2973	145	163	134	105	221	295	185	524	187	214	323	7204	324	218	318	317	354	472	504	6659	8100	4485	5220	5454	5800	2356	1936	1847	CAGL0A00979g
317	355	287	137	188	186	168	269	64	67	204	137	359	470	183	215	537	428	363	790	305	391	693	500	534	925	665	428	432	514	406	615	628	231	314	375	425	269	174	147	CAGL0A01001g
587	347	272	230	306	249	125	201	137	117	202	205	215	300	305	338	433	681	299	630	516	532	436	489	829	479	389	645	602	404	644	753	692	297	434	445	475	344	239	255	CAGL0A01023g
3427	3115	2740	2891	3878	3601	2737	4231	2549	2603	2444	521	4201	5455	4546	5406	5575	6996	3471	7251	3816	4492	6285	2330	5656	6954	4917	4324	3510	4831	3304	4062	4137	1109	1489	1882	2040	1522	904	1130	CAGL0A01045g
955	539	464	305	469	332	218	288	172	142	320	515	439	556	485	436	823	1342	583	1492	1109	996	939	1249	1737	1087	955	1291	1340	910	1483	1341	1684	824	1035	932	1142	785	509	447	CAGL0A01067g
96	197	146	113	186	121	118	124	90	84	101	32	141	204	214	225	243	510	126	270	394	453	175	67	712	354	162	617	525	138	511	138	134	42	54	54	59	69	39	48	CAGL0A01089g
2832	2498	2187	2164	2328	2419	2304	3766	1735	1339	2213	307	3959	5369	3192	3820	4745	6032	2313	4875	3101	3984	4728	1860	5525	6367	3754	4015	3248	3731	3235	2659	2791	675	912	1361	1419	1650	738	963	CAGL0A01111g
1060	886	735	736	1058	861	567	833	574	608	689	134	977	1245	1366	1504	1525	2520	802	2228	1653	2083	1395	477	2752	1658	1228	2156	2048	1159	2065	707	659	234	300	371	395	484	337	376	CAGL0A01133g
220	148	152	88	164	81	61	112	43	37	99	97	94	103	104	99	183	206	58	187	154	154	89	257	237	174	93	173	151	134	189	302	311	157	237	218	243	146	107	96	CAGL0A01155g
114	70	74	63	77	56	56	86	41	44	82	20	135	141	149	123	236	304	152	226	252	253	272	79	400	351	241	251	276	209	259	90	79	66	67	102	121	68	51	44	CAGL0A01177g
359	315	252	144	211	115	144	200	85	55	247	85	305	432	245	210	447	683	223	370	452	354	399	290	755	687	381	611	417	228	478	269	329	170	247	297	314	328	185	146	CAGL0A01193g
648	135	103	161	207	158	62	65	112	86	58	379	61	84	260	197	110	376	55	142	233	221	105	882	457	268	82	388	292	114	288	1203	1860	495	617	564	563	181	90	253	CAGL0A01199g
2601	2065	1603	1885	2448	2025	1266	1523	1501	1277	1001	433	1116	1492	2722	3053	877	3095	214	390	1157	1460	207	1899	1163	251	110	469	586	108	270	1505	2664	839	984	1124	902	1659	873	807	CAGL0A01221g
8559	29761	29768	2217	3288	2884	22635	34825	1068	871	25928	168	35954	48604	1455	1387	56108	832	31922	85461	480	462	62991	662	1172	85106	59237	722	657	57966	680	23861	24367	630	732	2038	1947	18717	12261	2066	CAGL0A01243g
191	174	123	84	139	124	121	180	91	94	151	7	251	300	178	259	409	362	244	767	328	401	518	35	546	777	455	529	569	507	597	54	60	23	33	47	51	94	62	53	CAGL0A01284g
56	42	33	33	45	52	17	30	19	18	35	10	34	41	47	67	70	82	30	94	71	88	51	24	92	68	65	74	78	58	81	28	27	16	18	19	19	23	11	15	CAGL0A01325g
178	233	198	102	151	135	205	264	114	97	248	7	300	394	207	184	437	327	259	725	239	336	562	42	451	812	427	366	394	480	433	85	114	31	32	34	38	149	63	55	CAGL0A01366g
36	35	18	26	34	29	27	33	10	20	14	5	20	37	37	41	50	55	34	66	42	58	41	21	86	53	41	68	64	45	61	20	24	9	9	15	17	14	10	12	CAGL0A01408g
6834	3702	3315	3748	5718	3911	1299	2157	1739	1675	1741	1817	2198	2919	4323	4153	3260	7740	1868	4597	4922	3897	2800	5499	6332	2755	2191	4635	4022	2793	4956	4988	6368	3364	4197	4034	4438	3844	2183	3059	CAGL0A01430g
664	366	346	296	447	328	167	292	187	202	207	175	244	292	336	377	336	606	186	481	403	481	268	466	695	212	223	555	539	225	601	604	653	234	361	334	428	317	228	247	CAGL0A01452g
1210	903	864	466	650	618	607	1097	389	317	980	367	1318	1552	800	715	1154	1298	811	1518	653	564	915	893	1203	751	510	1334	636	834	1263	1106	1362	567	607	645	671	749	569	469	CAGL0A01474g
6961	1129	980	650	729	444	128	130	56	58	130	5228	134	115	150	148	322	407	343	752	391	343	628	13523	777	340	480	804	834	988	1450	12994	15144	8759	10240	10340	10872	4134	3166	3114	CAGL0A01540g
18302	4713	4731	2654	3235	2050	543	687	367	311	509	10451	563	694	568	574	1051	1513	1085	3212	1267	1226	1710	25122	1880	786	1573	1880	1921	2419	2701	24392	29219	16140	18298	19099	19808	9710	7553	7560	CAGL0A01562g
5	13	15	5	8	2	2	11	4	2	11	4	3	6	8	7	12	23	2	27	20	24	22	13	31	12	7	22	26	13	44	19	17	12	5	6	9	15	6	2	CAGL0A01584g
147	251	232	115	158	118	178	251	83	64	183	7	312	388	141	168	484	326	281	796	249	379	424	22	424	478	324	397	410	350	482	213	200	13	14	23	26	107	79	59	CAGL0A01606g
521	503	447	245	266	219	289	442	133	84	266	177	434	569	220	232	639	451	386	908	294	361	760	763	647	1189	733	516	486	800	499	1390	1324	287	405	382	478	424	310	201	CAGL0A01628g
1165	4839	4055	896	1354	951	3598	5842	763	677	4556	82	5952	7944	1568	1749	10887	3722	6694	19215	3294	3026	10767	271	5095	13494	9975	4897	3581	10030	4123	1232	1435	161	181	190	174	1937	1046	390	CAGL0A01650g
2342	1609	1400	1305	1940	1415	701	1040	692	585	795	280	975	1250	1318	1479	1388	2166	745	1912	1482	1574	1169	780	2257	1324	933	1795	1717	1098	1865	948	1038	511	690	800	868	1276	757	927	CAGL0A01672g
395	639	591	265	422	339	483	762	230	255	503	46	634	806	487	564	1255	825	667	1799	681	797	945	109	1176	1102	973	905	1076	941	1202	252	225	101	160	161	167	271	172	121	CAGL0A01694g
3576	5448	2773	4206	3964	5046	4521	6836	3866	3796	5047	71	9843	12859	8678	10594	17310	20465	11082	11476	12725	15780	16712	594	18622	32217	12820	19026	10954	13049	10381	1508	1239	356	467	579	638	2564	1019	1206	CAGL0A01716g
2235	2752	2383	1449	2219	1455	1436	2150	883	744	1878	358	2174	2714	1939	1897	3080	3778	1524	3824	2602	2361	2192	1031	3735	3222	2304	2793	2502	2057	2528	2185	2514	569	782	833	918	1733	1106	931	CAGL0A01738g
847	737	619	480	739	553	427	731	316	320	507	143	634	846	561	617	668	792	312	707	454	550	411	447	613	422	309	508	456	318	555	624	548	192	247	355	320	435	294	309	CAGL0A01760g
7487	3557	3549	3143	5120	3204	2325	3073	1989	1963	3095	5788	3426	4841	5506	6466	7040	12703	3689	9126	10338	9936	5136	18957	17542	5814	3989	14290	12644	3820	15277	24968	29756	6659	9769	7667	9363	1951	1587	2879	CAGL0A01782g
569	167	154	173	275	139	79	194	96	97	222	590	549	728	513	611	2419	2269	3057	11751	2537	2742	6137	1777	4644	4313	6616	4594	4814	7902	5776	2429	2433	763	1146	940	1026	257	200	308	CAGL0A01804g
5	30	14	20	32	15	45	30	75	32	61	1	50	73	243	220	197	1164	203	271	1026	1085	348	2	1678	742	183	2415	1441	504	2090	8	6	4	5	0	4	6	3	6	CAGL0A01826g
2162	1934	1671	1238	1897	1373	1062	1802	808	747	1181	385	1561	1939	1582	1801	2259	2589	1138	3410	1845	2010	1883	1075	2634	2108	1667	1904	2092	1749	1995	1452	1502	690	945	992	1114	1323	823	831	CAGL0A01848g
301	544	494	359	512	352	797	1459	663	595	1095	37	1780	2217	1567	1672	2978	2744	1587	4697	1639	1836	2482	130	2380	3640	2051	1797	1457	2139	1580	241	225	73	109	131	128	276	142	125	CAGL0A01870g
1270	906	759	570	859	665	464	800	417	359	538	473	704	841	813	961	1127	1611	517	1268	1158	1380	833	1128	2050	964	666	1631	1685	844	2187	1181	1420	678	876	810	957	847	523	523	CAGL0A01914g
385	186	200	108	182	92	93	156	95	74	127	429	191	230	241	263	396	598	264	715	432	478	438	794	745	377	353	595	585	446	714	958	989	457	610	625	677	233	171	199	CAGL0A01958g
785	607	493	535	722	648	414	664	337	360	434	156	556	680	588	755	630	949	258	701	572	869	345	469	825	347	272	644	830	281	883	511	589	170	212	289	338	378	231	294	CAGL0A01980g
415	724	738	1044	1457	1369	1112	1939	1264	1147	1278	3	1786	2229	2273	2749	3160	5391	1268	3351	3332	3990	1858	12	4847	3794	1324	4417	2989	1127	2683	62	39	13	11	9	14	53	31	83	CAGL0A02002g
923	882	757	637	926	674	517	881	501	463	587	53	759	894	990	1120	1098	2113	529	1300	1596	1921	765	153	2386	1053	643	2314	2051	574	1965	244	189	115	138	166	176	416	258	248	CAGL0A02024g
915	855	813	550	892	718	657	1001	488	507	752	149	1022	1313	1073	1194	1759	2170	1183	3521	1615	2012	1969	361	2607	1848	1596	2466	2343	1841	2368	963	927	225	322	356	426	673	425	362	CAGL0A02046g
2238	635	559	422	654	329	168	255	111	86	243	1416	304	359	376	297	563	910	410	940	745	572	635	3193	1233	527	612	1000	900	855	1139	3018	3508	2159	2709	2573	2898	1207	936	1083	CAGL0A02090g
6016	1917	1579	1778	2423	1431	326	430	401	330	397	2442	426	573	1102	798	1322	2542	1070	2744	2077	1361	1765	6435	2895	1344	1626	2296	1849	2171	2383	5653	6486	4406	5333	5098	5768	3029	2068	2646	CAGL0A02112g
748	491	417	327	478	258	189	285	145	115	210	89	265	330	287	201	303	390	161	463	290	213	242	281	364	337	267	339	291	274	332	382	288	283	330	354	446	446	285	269	CAGL0A02134g
75	99	120	184	219	206	206	335	285	330	370	4	484	623	804	1048	1012	1831	630	1523	1230	1531	722	9	1726	660	425	1436	1181	350	1090	16	17	6	15	10	15	37	16	24	CAGL0A02145g
2871	834	755	806	1116	622	270	411	268	192	388	1617	473	698	680	565	949	1852	722	1702	1428	1050	1333	4286	2190	1170	1181	1929	1415	1566	1811	4185	4999	2670	3551	3232	3610	1354	989	1293	CAGL0A02189g
3712	1435	682	2324	3660	2487	1130	865	1847	1402	865	1047	811	1139	3395	3140	1016	6532	413	534	4126	4145	272	5998	6622	650	94	7240	4558	148	5507	5618	8959	834	449	538	605	216	110	1032	CAGL0A02211g
805	489	224	799	1230	783	373	340	560	439	339	256	380	530	898	765	480	1581	212	301	870	879	205	1413	1398	294	84	1374	906	103	856	3131	4574	171	170	161	181	66	40	216	CAGL0A02233g
58	40	37	28	26	22	20	29	13	14	30	36	28	38	40	41	57	75	40	145	62	92	61	133	94	54	55	69	61	64	69	108	118	87	107	95	105	35	21	26	CAGL0A02299g
502	568	454	291	514	323	524	740	364	298	767	890	1086	1481	1116	1175	2536	4434	2063	4746	4834	5131	3064	2529	8476	3664	3109	8020	9416	3534	10334	7208	7449	774	744	1021	1239	389	278	234	CAGL0A02321g
2138	2601	2242	1272	1979	1382	1645	2462	892	855	1959	655	2600	3265	1865	1970	4114	3754	2177	5744	2720	2615	3592	1726	3946	4275	2788	3024	2388	2443	2612	2632	2935	1024	1220	1356	1417	1756	1131	861	CAGL0A02365g
1811	1589	1417	1158	1569	1316	1061	1660	653	611	1021	242	1334	1724	1092	1239	1230	1351	503	1582	816	982	898	908	1193	900	801	898	963	640	915	1004	1102	438	448	616	681	950	586	598	CAGL0A02387g
1190	1018	801	782	903	865	541	729	418	443	648	207	952	1142	1055	1291	1338	2351	728	1183	1627	1914	1363	1183	2973	2267	1331	2325	2200	1134	2241	1363	1467	637	861	976	944	997	520	523	CAGL0A02409g
470	489	189	363	231	363	197	344	232	241	185	29	670	849	614	823	920	1346	587	365	751	1219	1100	470	1347	1481	635	999	1191	684	1199	453	381	227	314	348	321	515	121	210	CAGL0A02431g
379	410	266	291	260	324	234	397	232	200	246	38	673	955	626	757	1047	1463	674	568	889	1488	1232	312	1740	1887	754	1320	1635	802	1594	321	318	130	185	221	236	378	132	147	CAGL0A02475g
918	880	789	580	798	583	627	864	461	422	637	193	870	1023	987	1177	1391	1913	724	1873	1360	1645	1235	564	2409	1598	1023	1708	1716	1195	1858	759	861	358	438	402	480	525	345	309	CAGL0A02486g
679	514	461	409	595	400	320	510	297	197	407	222	506	659	623	607	824	1215	483	1305	874	841	803	534	1334	872	630	1106	932	636	1059	773	907	317	450	489	532	401	257	284	CAGL0A02508g
2286	2176	1897	1461	2022	1497	1135	1620	877	675	1292	457	1531	2186	1797	1807	2068	3140	1011	2449	1864	1801	1452	1674	2561	1868	1320	2062	1795	1169	1691	2013	2180	894	1192	1324	1486	1610	961	964	CAGL0A02530g
1039	700	591	477	612	448	314	507	259	245	386	294	624	754	568	633	847	1190	468	1030	793	817	649	941	1053	718	536	746	686	600	792	1204	1108	670	858	823	999	787	481	415	CAGL0A02552g
4166	2658	1760	2866	3312	2985	1317	1941	1742	1635	1531	381	2551	3555	4542	4779	3435	7981	1994	2462	4671	5235	3181	2556	6883	4150	2174	4293	4201	1845	4176	2175	2459	1315	1628	1843	1730	2638	1075	1591	CAGL0A02574g
506	428	362	266	350	237	227	276	166	137	248	151	290	329	297	336	421	597	203	325	470	489	324	433	666	469	368	588	569	265	705	485	466	289	361	384	437	377	275	186	CAGL0A02596g
797	637	647	502	732	537	450	724	365	312	559	110	714	1055	734	814	1185	1609	749	1959	1074	1312	1112	329	1535	1350	825	1120	1115	848	1130	409	461	203	243	266	308	510	306	331	CAGL0A02618g
4513	3880	3313	2976	4195	3542	2545	3986	2323	2112	2875	650	3975	5122	4356	5168	5577	7955	2816	7135	4980	5680	4621	2101	7673	5540	3712	5699	5133	3354	4668	2705	2966	1233	1493	1838	1831	2525	1477	1678	CAGL0A02629g
720	515	435	361	515	395	308	491	246	209	336	175	440	581	522	552	775	989	399	996	808	963	657	549	1360	735	634	1017	1093	612	1158	703	732	382	432	516	545	451	301	271	CAGL0A02651g
928	553	423	308	401	300	249	351	182	175	367	508	436	596	404	468	878	1092	588	1142	845	807	851	1675	1379	1137	883	1007	918	843	943	1838	2009	1101	1372	1308	1485	677	445	447	CAGL0A02673g
530	611	316	410	371	515	262	454	277	261	288	33	659	911	647	740	905	1106	456	422	576	903	723	387	948	1037	532	718	745	502	779	366	321	193	246	303	304	514	160	234	CAGL0A02695g
215	204	90	176	127	205	94	162	113	109	119	19	299	347	296	369	361	514	203	165	240	515	371	142	479	552	212	352	431	206	429	134	111	80	98	128	132	195	52	97	CAGL0A02706g
711	723	493	499	503	626	512	792	341	341	577	87	959	1376	842	992	1376	1478	711	1234	1046	1369	1120	455	1637	1760	821	1151	1118	754	1051	561	457	244	310	370	377	635	239	311	CAGL0A02728g
3720	3223	2471	2096	3162	2475	1682	2598	1417	1432	1722	478	2567	3249	2744	3256	3519	5170	1804	4614	3242	3882	2830	1532	4802	3739	2266	3788	3313	1992	3087	2242	2419	847	1044	1372	1490	2594	1268	1441	CAGL0A02750g
114	96	67	51	74	41	46	65	25	27	64	112	74	117	112	104	192	294	135	312	206	231	194	313	389	223	200	322	341	232	458	391	387	163	207	222	207	95	64	59	CAGL0A02772g
466	353	316	202	307	186	197	223	110	86	235	225	277	354	267	271	488	547	272	691	401	386	377	568	589	480	369	455	344	384	429	717	885	398	464	465	509	361	224	222	CAGL0A02794g
567	648	552	436	621	526	565	753	399	345	593	133	904	1123	853	924	1342	1800	675	1961	1229	1400	1062	369	1702	1357	839	1399	1318	792	1073	681	671	190	226	320	366	322	209	216	CAGL0A02816g
209	177	157	185	186	141	133	231	159	136	220	66	237	342	350	413	491	791	327	781	620	765	418	119	1001	480	349	843	931	404	1090	185	216	75	111	128	126	118	68	77	CAGL0A02838g
385	224	222	181	285	189	150	270	105	95	162	120	213	259	221	234	284	341	140	377	226	225	209	301	342	179	168	224	248	188	302	402	431	160	178	214	216	193	120	145	CAGL0A02860g
1330	1205	1226	983	1251	1003	945	1480	701	577	1028	222	1333	1654	1302	1351	1817	2410	888	2333	1367	1517	1354	662	2109	1731	1017	1690	1242	941	1304	813	883	289	434	481	608	726	414	470	CAGL0A02882g
296	264	252	204	305	203	165	291	160	138	207	54	312	386	355	459	481	823	291	896	644	706	477	167	953	385	371	838	902	392	961	186	226	80	127	120	126	155	122	119	CAGL0A02904g
2209	1594	1491	1133	1717	1278	831	1215	613	587	847	436	1075	1426	1098	1243	1431	1993	749	2037	1354	1400	1031	1195	1941	1201	929	1728	1340	958	1538	1666	1729	743	1007	1078	1180	1230	834	845	CAGL0A02926g
791	574	568	436	629	486	334	496	270	249	390	119	458	637	583	712	684	1100	421	1184	769	917	535	350	1150	721	473	981	829	524	975	473	547	198	242	289	324	384	222	274	CAGL0A02948g
0	0	1	1	2	0	0	0	0	0	2	1	0	1	1	0	1	2	1	1	3	5	0	0	2	0	0	2	3	2	6	1	0	0	0	0	0	2	1	0	CAGL0A02970g
140	107	114	95	107	84	70	117	46	29	80	30	114	165	109	122	227	277	111	341	228	293	178	74	412	299	211	318	333	171	385	88	83	56	69	77	74	75	48	49	CAGL0A02981g
521	448	384	355	502	363	301	483	250	225	373	115	410	584	457	480	488	808	229	661	515	567	346	379	808	382	308	630	550	223	641	451	426	160	200	279	275	303	196	208	CAGL0A02992g
573	518	524	437	708	429	401	612	360	348	548	104	708	968	830	1032	1233	1827	684	1705	1216	1518	955	265	1949	1218	818	1563	1446	745	1474	472	486	138	203	244	237	267	171	205	CAGL0A03014g
4376	3126	3289	2874	3913	3212	2752	5013	2380	2159	3197	853	4873	6513	4813	5711	6353	9135	3135	9655	5355	6143	5346	2733	7718	6172	4616	6431	5365	4677	5718	4019	4387	1080	1302	2057	2023	1695	1058	1545	CAGL0A03036g
842	526	556	325	403	326	226	409	144	104	286	292	398	531	291	282	568	526	320	974	347	382	562	710	618	531	473	453	361	492	459	871	1125	445	599	577	617	524	319	320	CAGL0A03051g
1330	948	928	755	1155	863	567	826	434	450	660	196	926	1187	1040	1156	1668	1954	923	2678	1537	1799	1721	615	2579	2063	1488	1935	2068	1408	2043	972	1066	334	392	413	505	616	360	446	CAGL0A03058g
533	553	569	329	515	427	368	674	265	217	384	74	517	676	462	518	636	792	319	886	481	592	468	213	770	663	409	561	457	323	526	303	434	209	231	154	182	292	195	178	CAGL0A03080g
36	23	24	27	27	47	9	21	43	54	20	2	17	36	110	234	33	418	20	54	506	906	32	57	1269	51	17	926	1356	20	1016	48	39	17	29	37	32	13	10	11	CAGL0A03102g
6006	4088	3803	3084	4435	3468	1679	2554	1496	1348	1483	1140	1951	2508	2377	2809	2170	4132	1083	2822	2837	2871	1731	2760	4515	2234	1373	3632	3062	1654	3648	3615	4124	1898	2114	2299	2624	2744	1760	2109	CAGL0A03117g
661	494	488	394	619	453	391	649	295	256	354	68	543	758	441	529	551	676	266	756	419	533	377	193	610	519	306	466	409	237	483	245	218	113	126	170	153	271	194	197	CAGL0A03146g
10215	2331	2195	1625	2014	1335	318	378	243	171	337	5427	384	491	511	420	743	1082	782	1978	1132	1043	1387	17098	2008	797	1201	1853	1939	2258	3050	17673	20169	10517	12645	13265	13489	6318	4354	4561	CAGL0A03168g
308	293	267	189	290	221	159	197	104	95	187	95	254	297	197	190	350	400	184	571	247	241	234	253	378	258	220	272	237	232	262	390	268	161	195	234	288	210	155	139	CAGL0A03190g
649	224	149	166	267	194	53	93	91	71	58	446	65	98	184	162	100	345	93	240	241	239	118	1679	383	93	142	269	341	98	278	1581	1875	798	945	733	871	530	295	295	CAGL0A03212g
19708	9229	7274	5891	8347	6254	3082	4318	2569	2536	3235	8636	4159	5436	4916	5346	7509	9903	6180	16992	8459	8825	11435	26890	14364	8364	10340	11463	12731	13418	14205	26893	30691	16835	20991	20209	21883	11778	7897	7826	CAGL0A03234g
192	147	114	81	109	77	37	98	50	34	67	116	96	113	91	104	182	195	106	254	194	180	183	257	324	196	166	262	261	226	338	331	369	146	222	220	298	146	109	91	CAGL0A03256g
24322	5725	5190	2989	3746	2454	599	663	337	353	498	13971	500	649	627	575	963	1246	955	2313	1101	1074	1586	32269	2032	790	1391	1991	1966	2617	2751	32661	38602	21091	23920	25349	26562	12200	9287	9913	CAGL0A03278g
4	4	1	3	6	2	4	5	1	1	2	0	4	6	5	4	8	15	1	3	22	25	1	4	32	4	0	35	29	5	49	3	0	1	0	2	1	4	0	2	CAGL0A03300g
553	458	394	288	480	370	275	432	240	188	322	143	410	559	438	543	580	767	297	904	488	579	485	362	706	506	416	602	565	478	596	439	448	185	269	268	308	303	167	193	CAGL0A03322g
